Feature_ID,Importance_Rank,Avg_Dropout_Loss
NumberFours,1,0.998443652
UnexcusedAbs,2,0.998641462
English,3,0.998652658
Guidance,4,0.999040812
Math,5,0.999318865
SocialSciences,6,0.99946069
Tardies,7,0.999486816
Suspensions,8,0.999611846
ExcusedAbs,9,0.999615578
Avg_GPA,10,0.99964357
Sci,11,0.999680893
SummerSchool_Y,12,0.999707018
Majors,13,0.999710751
RepeatedCourses,14,0.999766734
Last_FreeAndReducedStatus,15,0.999768601
SPED,16,0.999774199
NumberFives,17,0.999794726
ELL,18,0.999794726
ProgramABC,19,0.999794726
ACP,20,0.999794726
Academy,21,0.999802191
